StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
09:38:31.942884, e        ,ip,127.0.0.116,, ->,108.122.0.0,,4,240,INT
09:38:31.942940, e        ,ip,127.0.0.239,, ->,108.122.0.0,,4,240,INT
09:38:31.942971, e        ,ip,127.0.0.240,, ->,108.122.0.0,,4,240,INT
09:38:31.943001, e        ,ip,127.0.0.149,, ->,108.122.0.0,,4,240,INT
09:38:31.943058, e        ,ip,127.0.0.78,, ->,108.122.0.0,,4,240,INT
09:38:31.943115, e        ,ip,127.0.0.69,, ->,108.122.0.0,,4,240,INT
09:38:31.943122, e        ,ip,127.0.0.151,, ->,108.122.0.0,,4,240,INT
09:38:31.943171, e        ,ip,127.0.0.79,, ->,108.122.0.0,,4,240,INT
09:38:32.411269, e *      ,tcp,10.32.92.230,58122, ->,69.42.215.170,ircd,12,844,RST
09:38:32.412393, e *      ,tcp,10.32.92.230,58123, ->,69.42.215.170,ircd,12,844,RST
09:38:33.130675, e s      ,tcp,10.32.92.10,61293, ->,172.10.0.6,bb,6,388,REQ
09:38:34.413722, e *      ,tcp,10.32.92.230,58124, ->,69.42.215.170,ircd,12,844,RST
09:38:34.414160, e *      ,tcp,10.32.92.230,58125, ->,69.42.215.170,ircd,10,712,RST
09:38:34.913641, e        ,arp,10.32.92.5,,who,10.32.92.4,,72,4320,INT
09:38:36.415764, e *      ,tcp,10.32.92.230,58126, ->,69.42.215.170,ircd,12,844,RST
09:38:36.416233, e *      ,tcp,10.32.92.230,58127, ->,69.42.215.170,ircd,10,712,RST
09:38:37.426694, e        ,udp,10.32.92.230,47113, ->,70.0.0.1,domain,4,348,INT
09:38:38.417814, e *      ,tcp,10.32.92.230,58128, ->,69.42.215.170,ircd,10,712,RST
09:38:38.418236, e *      ,tcp,10.32.92.230,58129, ->,69.42.215.170,ircd,10,712,RST
09:38:39.222933, e        ,udp,10.32.92.230,59986, ->,70.0.0.1,domain,4,280,INT
